Country,Total_2015,Total_2018,Total_2021,Total_2023,Total_2024,Population_2015,Population_2018,Population_2021,Population_2023,Population_2024,Crude_rate_2015,Crude_rate_2018,Crude_rate_2021,Crude_rate_2023,Crude_rate_2024
Alabama,282,392,1006,1228,835,4858979,4887871,5039877,5108468,5157699,5.80368838803378,8.01985158773626,19.9608045990011,24.0385180057896,16.1893898810303
Alaska,86,82,216,309,292,738432,737438,732673,733406,740133,11.6462991853007,11.1195788662911,29.4810918376957,42.1321887194814,39.4523686958966
Arizona,671,1159,2063,2070,1809,6828065,7171646,7276316,7431344,7582384,9.8270886407789,16.160864604862,28.3522595775115,27.8549882766832,23.8579317533905
Arkansas,203,217,394,320,194,2978204,3013825,3025891,3067732,3088354,6.81618854853462,7.20015262996358,13.0209581244004,10.4311589147944,6.28166330673232
California,2018,2544,7338,8082,5671,39144818,39557045,39237836,38965193,39431263,5.15521620256352,6.43121850987605,18.7013371481547,20.7415885249176,14.3819892352928
Colorado,495,602,1346,1339,1025,5456574,5695564,5812069,5877610,5957493,9.07162626219309,10.5696292763983,23.1587064778481,22.7813686175163,17.2052237409259
Connecticut,685,961,1408,1203,867,3590886,3572665,3605597,3617176,3675069,19.0760720334759,26.8986876743272,39.0503985886387,33.2579891053131,23.591393794239
Delaware,133,358,457,465,294,945934,967171,1003384,1031890,1051917,14.0601775599566,37.015171050414,45.545872766558,45.0629427555263,27.94897316043
District of Columbia,98,192,354,355,254,672228,702455,670050,678972,702250,14.5783870948547,27.3327117039526,52.8318782180434,52.2849248569897,36.1694553221787
Florida,1838,3260,6079,5140,3360,20271272,21299325,21781128,22610726,23372215,9.06701858669747,15.3056493574327,27.9094820066252,22.7325739120451,14.3760443757684
Georgia,858,904,1839,1913,1318,10214860,10519475,10799566,11029227,11180878,8.39952774683158,8.59358475589324,17.0284620696795,17.3448238938232,11.7879830188649
Hawaii,62,61,93,138,126,1431603,1420491,1441553,1435138,1446146,4.33080958897125,4.29428979134679,6.45137570384162,9.61580001365722,8.71281322909305
Idaho,90,126,245,273,213,1654930,1754208,1900923,1964726,2001619,5.4382964838392,7.18272861599081,12.888475756251,13.8950673020055,10.6413857981964
Illinois,1381,2215,3103,2948,1916,12859995,12741080,12671469,12549689,12710158,10.7387289030828,17.384711500124,24.4880842150188,23.490621958839,15.074556901653
Indiana,536,1142,2263,1734,1204,6619680,6691878,6805985,6862199,6924275,8.09706813622411,17.0654635365439,33.2501467458421,25.2688678949707,17.3881020034588
Iowa,170,151,266,260,178,3123899,3156145,3193079,3207004,3241488,5.44191729630183,4.78431757729762,8.33051734704967,8.10725524508233,5.49130522772258
Kansas,150,168,446,431,366,2911641,2911505,2934582,2940546,2970606,5.15173402215452,5.77021162594603,15.1980759099592,14.6571419049387,12.3207183988721
Kentucky,885,1012,1927,1663,1062,4425092,4468402,4509394,4526154,4588372,19.9995841894361,22.6479175329346,42.7330146800213,36.7420109876951,23.1454642300145
Louisiana,287,465,1377,1152,766,4670724,4659978,4624047,4573749,4597740,6.14465765906956,9.97858788174536,29.7791090791248,25.1872151270216,16.6603592199646
Maine,238,287,552,521,390,1329328,1338404,1372247,1395722,1405012,17.9037829640239,21.4434505575297,40.22599429986,37.3283504881345,27.7577700403982
Maryland,1087,2123,2510,2247,1506,6006401,6042718,6165129,6180253,6263220,18.0973597999867,35.1331966840088,40.7128545079916,36.3577348694301,24.0451397204633
Massachusetts,1550,2010,2297,2126,1363,6794422,6902149,6984723,7001399,7136171,22.812830878035,29.121364954596,32.8860571850881,30.3653598373696,19.0998786323926
Michigan,1309,2043,2593,2340,1384,9922576,9995915,10050811,10037261,10140459,13.1921388155656,20.4383490655933,25.798913142432,23.3131329353695,13.6482973798326
Minnesota,338,352,1003,1009,690,5489594,5611179,5707390,5737915,5793151,6.15710378581731,6.27319142732748,17.5737070710079,17.5847847170967,11.9106165194037
Mississippi,150,177,566,497,305,2992333,2986530,2949965,2939690,2943045,5.01281107416855,5.92661048105996,19.1866683164038,16.9065445676245,10.3634161217379
Missouri,692,1185,1638,1501,958,6083672,6126452,6168187,6196156,6245466,11.3747092216674,19.342353453516,26.5556151264545,24.2246967313283,15.3391276167383
Montana,48,64,116,135,105,1032949,1062305,1104271,1132812,1137233,4.6468896334669,6.02463510950245,10.5046677853534,11.9172466393364,9.2329364343103
Nebraska,55,66,122,80,68,1896190,1929268,1963692,1978379,2005465,2.90055321460402,3.42098661253906,6.21278693399983,4.04371457642848,3.39073481711224
Nevada,419,399,631,883,822,2890845,3034392,3143991,3194176,3267467,14.4940320217791,13.1492569186842,20.0700320070891,27.6440621931916,25.1571018161775
New Hampshire,380,421,393,405,262,1330608,1356458,1388992,1402054,1409032,28.558373315056,31.0367147379425,28.293899460904,28.8861912593951,18.5943257498765
New Jersey,862,2618,2734,2393,1659,8958013,8908520,9267130,9290841,9500851,9.62266967016011,29.3875974909413,29.5021220162013,25.7565488420263,17.4615937035535
New Mexico,351,359,802,751,522,2085109,2095428,2115877,2114371,2130256,16.8336523414364,17.1325380781396,37.9039046220551,35.5188375171623,24.5040971601535
New York,2166,3065,5032,5381,3448,19795791,19542209,19835913,19571216,19867248,10.9417198837874,15.6839996952238,25.3681290092369,27.4944592098927,17.3551968546424
North Carolina,1171,1806,3375,2947,2176,10042802,10383620,10551162,10835491,11046024,11.6600924722005,17.3927782411144,31.9869982092968,27.1976599860588,19.6993959093335
North Dakota,34,38,75,90,69,756927,760077,774948,783926,796568,4.49184663778674,4.99949347237188,9.67806872203038,11.4806754719195,8.66216066927117
Ohio,2698,3319,4574,3864,2351,11613423,11689442,11780017,11785935,11883304,23.2317379639061,28.3931431457549,38.8284668859137,32.7848405748038,19.7840600560248
Oklahoma,427,318,479,842,611,3911338,3943079,3986639,4053824,4095393,10.9169803274481,8.06476360225093,12.0151335498399,20.7705119906538,14.9192031143287
Oregon,331,351,785,1406,1110,4028977,4190713,4246155,4233358,4272371,8.21548497298446,8.37566304349642,18.4873138168531,33.2124049040974,25.9808897682341
Pennsylvania,1362,2891,4138,3633,2325,12802503,12807060,12964056,12961683,13078751,10.638544665836,22.5734868111807,31.9190228737056,28.0287675605089,17.7769268640408
Rhode Island,254,268,392,353,228,1056298,1057315,1095610,1095962,1112308,24.0462445256926,25.3472238642221,35.7791549912834,32.2091459375416,20.4979196409628
South Carolina,554,858,1752,1761,1078,4896146,5084127,5190705,5373555,5478831,11.3150220602082,16.8760536469683,33.7526405372681,32.771600923411,19.6757300964385
South Dakota,27,29,47,48,44,858469,882235,895376,919318,924669,3.14513395358481,3.28710604317444,5.24919140115438,5.22126184845723,4.75845951362055
Tennessee,1038,1341,3087,2973,1860,6600299,6770010,6975218,7126489,7227750,15.7265602664364,19.8079471079068,44.2566812965559,41.7175975434748,25.7341496316281
Texas,1287,1457,2845,3262,2496,27469114,28701845,29527941,30503301,31290831,4.68526214569571,5.0763287168473,9.63494203676443,10.6939245690163,7.97677760619397
Utah,448,458,458,517,466,2995919,3161105,3337975,3417734,3503613,14.953675316322,14.4886044595165,13.7208936555846,15.1269817955406,13.3005557406026
Vermont,79,128,224,238,189,626042,626299,645570,647464,648493,12.6189616671086,20.4375226529182,34.698018805087,36.7588004892936,29.1444934640775
Virginia,820,1212,2249,2101,1184,8382993,8517685,8642274,8715698,8811195,9.78170922962718,14.2292183850424,26.0232434194982,24.1059293243066,13.4374508792508
Washington,692,767,1658,2906,2547,7170351,7535591,7738692,7812880,7958180,9.65085251754064,10.178365572123,21.4248092571716,37.1949908356458,32.0048051187583
West Virginia,629,739,1298,1246,675,1844128,1805832,1782959,1770071,1769979,34.1082614655816,40.9229651484745,72.8003279940817,70.3926565657536,38.1360456818979
Wisconsin,622,862,1458,1438,830,5771337,5813568,5895908,5910955,5960975,10.7773987206084,14.82738311481,24.7290154459669,24.3277101585108,13.9238966779763
Wyoming,46,43,76,92,64,586107,577737,578803,584057,587618,7.84839628259004,7.44283298455872,13.1305470082221,15.7518872301847,10.8914294660817
