Location,STATE_ABBREV,Opioid Dispensing Rate_2021,Opioid Dispensing Rate_2024,Opioid Dispensing Rate_2023,Opioid Dispensing Rate_2018,Opioid Dispensing Rate_2015
Alabama,AL,77.3,68.5,71.2,97.5,125
Alaska,AK,34.8,28.7,30.3,44.9,60.8
Arizona,AZ,40.2,33,34.5,50.7,75.5
Arkansas,AR,75.3,68.8,71.4,93.5,117.2
California,CA,27.6,22.4,23.6,35.1,47.7
Colorado,CO,36.7,30.6,32.3,45.1,65.1
Connecticut,CT,35.9,29.7,32.1,43,62.3
Delaware,DE,45.1,36.5,39.3,60.6,84.4
District of Columbia,DC,32.8,25.1,30,25,35.7
Florida,FL,42.7,35.5,36.9,53.7,67.1
Georgia,GA,52.8,45,47.1,63.2,79.4
Hawaii,HI,25.2,21,22.5,33.4,44.3
Idaho,ID,48,42.8,44.1,61.9,81.9
Illinois,IL,39.3,32.5,35,45.2,59.1
Indiana,IN,55.1,47.3,49.3,65.8,89.1
Iowa,IA,38.7,31.8,34.4,49.3,68.6
Kansas,KS,58.6,49.6,52.6,64.3,80.5
Kentucky,KY,65.7,55.9,58,79.5,102.6
Louisiana,LA,68.3,59.2,62.5,79.4,100.4
Maine,ME,38.1,32.5,33.7,48.1,76.5
Maryland,MD,37.9,30.4,32.7,45.1,63
Massachusetts,MA,32.5,25.9,28.3,35.3,54
Michigan,MI,53.3,46.5,47.7,62.7,90.5
Minnesota,MN,29.6,25,26.4,35.5,52.1
Mississippi,MS,65.2,61.4,63,76.8,110.9
Missouri,MO,52.8,44.3,46.9,63.4,84.5
Montana,MT,44.3,38.6,40.4,54,73.3
Nebraska,NE,46.7,40.1,42.5,50.6,65.5
Nevada,NV,45.1,38,39.8,55.5,85.4
New Hampshire,NH,33.7,28.9,30.9,46.1,74.8
New Jersey,NJ,29.6,23.7,26,38.9,56
New Mexico,NM,38.6,33.4,33.6,49.4,69.8
New York,NY,30.1,24.1,26,34,45.1
North Carolina,NC,52.1,44.5,46.5,61.5,88.4
North Dakota,ND,36.7,30.9,32.2,37.4,53
Ohio,OH,45.8,39.2,40.6,53.5,82.7
Oklahoma,OK,58.3,50.9,52.7,79.1,104.4
Oregon,OR,44.6,38.2,39.8,57.3,84.2
Pennsylvania,PA,40.9,33.8,36.3,49.9,75.5
Rhode Island,RI,33.5,28,30.3,43,65.7
South Carolina,SC,55.2,45.2,48.2,69.2,95.1
South Dakota,SD,39.1,35.6,35.9,42.6,59.1
Tennessee,TN,66,56.1,58.4,81.8,114.9
Texas,TX,35.9,30.5,32,47.2,59.8
Utah,UT,48,41.9,43.5,57.1,74.4
Vermont,VT,32.5,26.3,27.9,42.4,60.1
Virginia,VA,36.3,30.8,32.4,44.8,68.1
Washington,WA,38.5,32.5,34.3,49.3,69.8
West Virginia,WV,52.3,43.8,46.4,69.3,111.3
Wisconsin,WI,38.3,30.6,32.6,45.8,67.5
Wyoming,WY,45.7,41.7,42.9,57.1,75.4
